trial_id,method,motion_style,repeat,elapsed_time_s,reference_x,reference_y,reference_z,actual_x,actual_y,actual_z,speed_mps,acceleration_mps2,jerk_mps3,roll_deg,pitch_deg,tracking_error_m
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.48,5.771351746943824,2.998164819192111,4.787281541277396,4.594958094218444,2.8615878989398986,3.6211043122471125,3.8774607378549035,4.673136960545122,33.65233063251113,5.94980568224968,-23.760302276734024,1.6620844174791163
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.5,5.794415689825411,2.998349935434045,4.808738632316845,4.666151794506037,2.857793104560786,3.679427624026561,3.8528303029776487,5.191806626083949,28.2375760158649,5.769026234691355,-27.76535971852656,1.6025226967603294
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.52,5.816049709808317,2.9985235748025487,4.8288654223763645,4.721180536075127,2.8563658630647324,3.723846267595683,3.8232621933084587,5.523016548853046,24.984921616119312,5.558501713740584,-30.29735942962196,1.5620546261350599
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.54,5.836272355388341,2.9986858861718995,4.847679167688556,4.792010329395667,2.8563320429455623,3.780254333947666,3.787160646888544,5.847923294722372,21.06024612254761,5.183594279798278,-32.88248744129021,1.5000478563360569
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.56,5.855104975870379,2.99883704089628,4.865199730164329,4.84654950395488,2.857991902906226,3.8228436132074926,3.747367341328595,6.064634447225319,20.358735420431678,4.696708486467008,-34.282301059410024,1.4572329145965188
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.58,5.87257177628633,2.998977233250563,4.881449628484713,4.9169064403874865,2.8621475471991067,3.876918991652413,3.701256781853688,6.208119018426704,20.24885195735341,3.5453094321140366,-35.46719586710557,1.393233791421345
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.6,5.888699872312857,2.9991066808710896,4.896454089192533,4.970825360477225,2.8671978409204244,3.9177590409094742,3.6520519812664447,6.207896695843525,22.268194610815865,2.1194400073429094,-35.847886157834274,1.3482349791740347
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.62,5.903519345189243,2.999225625196455,4.91024109778416,5.039772362825991,2.8757613049051045,3.9692427646802315,3.596127581817006,6.114171488392595,24.47690532396983,-0.3730461474595364,-35.80095688082576,1.283269321238142
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.64,5.917063296635193,2.9993343319082904,4.922841449801232,5.092507671537609,2.8841262858512433,4.008041770730643,3.5371400129758466,5.973293297422812,27.029949124817914,-2.818216991967774,-35.21771024012923,1.2369411164578537
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.66,5.929367903768715,2.999433091372044,4.934288801922426,5.159381869995497,2.8965395870673363,4.0567146753561,3.471343577810804,5.833155862784734,31.311864539130777,-6.475319364231536,-33.789364380721395,1.172007642062356
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.68,5.940472474023864,2.9995222190777655,4.944619723055123,5.20995546508415,2.907396899940279,4.092896811267838,3.4033706422313674,5.745172535153724,37.72010902903618,-9.63993984749082,-32.03072550777896,1.1258659304019378
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.7,5.950419500068653,2.999602056080887,4.953873745427212,5.274570488174005,2.922875596372204,4.138697784674871,3.3282910252440936,5.740456591315461,42.97118185893986,-13.997249652422134,-29.061378969067853,1.0616829486654207
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.72,5.959254714722779,2.9996729694430058,4.962093415678738,5.322735291002808,2.9358791480402933,4.172811767857109,3.2513736894254395,5.90951796004862,46.22978733053451,-17.43210270145365,-26.241019049413037,1.015968576290621
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.74,5.96702714587559,2.999735352672668,4.969324345953754,5.3832803732713534,2.953965262254473,4.2162273097334095,3.166584011000332,6.2374906515500905,45.72418052289395,-21.799868435423566,-22.19997795217985,0.9539446219076967
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.7600000000000002,5.973789171403763,2.9997896261661494,4.975615264991926,5.427774648719329,2.9688294797176726,4.249320973456077,3.0798960978958987,6.580973734671266,44.54476515631649,-25.012754755988688,-18.810713872515766,0.909172034088149
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.7800000000000002,5.979596574089238,2.9998362376482386,4.981018069220359,5.482726891476788,2.9889000953438267,4.292120679559278,2.9833475906079605,6.8404042306732675,43.491026201099075,-28.89667344307563,-14.266467639945178,0.8494578825284693
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.8000000000000003,5.984508596536973,2.99987566261302,4.985587873845266,5.522492995266271,3.004724618253084,4.324906898569257,2.8837437671503072,6.961335041944242,44.47133433559487,-31.57177691640073,-10.677080787042526,0.8062141646485668
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.82,5.9885879960928055,2.9999084047646543,4.989383063943732,5.571051346562059,3.0252157922352643,4.367131858312181,2.7729104142388312,6.997074902112169,45.15847742388277,-34.65041810395698,-6.001003165662087,0.7497825554598267
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.84,5.991901099761321,2.999934996458165,4.992465345555487,5.606436874244918,3.0396174774352738,4.399558075134314,2.6585158361041072,7.028544367478817,45.77329436945265,-36.64399465941266,-2.448711429833262,0.7083053012421587
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.86,5.994517859123539,2.999955999140216,4.994899796774504,5.65622326056417,3.047231142205651,4.444491353223187,2.5339832679711964,7.066448999532385,46.17455125254031,-38.75975972503778,2.0652598314469155,0.6477867159018357
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.88,5.996511905254924,2.999972003789897,4.996754918840912,5.694114607003867,3.0489903534039273,4.479400705536795,2.408169867523318,7.062220933832925,49.27385204983733,-40.00306243480101,5.356694886104533,0.6012506188037929
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.9,5.997960603643065,2.999983631359506,4.99810268723258,5.740184744476619,3.0507432308931866,4.523166360665894,2.2744738885614804,6.984606352663158,52.80696919589524,-41.25671144592584,9.328747386733511,0.5427609462797384
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.92,5.998945109105577,2.9999915332153297,4.99901860275693,5.773240986672727,3.0514913234414163,4.555399102571072,2.1415939873544443,6.9612235700427725,53.79558989780157,-41.96013113764193,12.098782677563706,0.5003926860193546
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.94,5.999550420707908,2.999996391578429,4.999581742642643,5.8134367474968585,3.051761578030665,4.5949444218875595,2.001360389295003,7.148341735281775,48.126303711924976,-42.55433964821256,15.307179966628071,0.44838520853435465
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.96,5.999865436681144,2.999998919965419,4.999874811631382,5.842666686538239,3.051463362390572,4.623051384833257,1.86401014826942,7.45599120410708,35.50888371535434,-42.831068989185106,17.51157475628291,0.4115287728270104
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.98,5.999983009339876,2.9999998636292515,4.9999841930695474,5.879000552517673,3.0507156501746993,4.656307463185468,1.7220158568977004,7.751003469554843,17.47214854915805,-43.03830114096711,20.12595133576754,0.36786212162639725
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,3.0,6.0,3.0,5.0,5.9060237270739115,3.049911901496389,4.679157409376473,1.5869930527890697,7.816897926546708,4.564940546802825,-43.085490328588335,21.87591046381095,0.3380276700835006
