trial_id,candidate_id,scenario_id,seed,axis,event_index,zero_crossings_cross_metric_only,left_index,right_index,time_s,bracket_dt_s,target_relative_interpolated_abs_m,target_relative_bracket_near_abs_m,target_relative_bracket_max_abs_m,centered_bracket_near_abs_m,centered_bracket_max_abs_m
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,17,1,235,236,4.719112232191233,0.019997596740722656,0.0019092159271240235,0.0013501644134521484,0.0020983219146728516,0.00018910598754882805,0.0005590515136718751
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,18,1,242,243,4.8588769313788704,0.01999831199645996,0.0019092159271240235,0.0017254352569580078,0.002420663833618164,0.0001837806701660157,0.0005114479064941405
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,x,1,1,30,31,0.6179470146012277,0.019975900650024414,0.06004374313354492,0.05811882019042969,0.06442832946777344,0.0019249229431152343,0.004384586334228516
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,x,2,1,114,115,2.2840848056534426,0.020006179809570312,0.06004374313354492,0.0600283145904541,0.06324052810668945,1.54285430908202e-05,0.0031967849731445314
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,x,3,1,208,209,4.17973061818508,0.01997089385986328,0.06004374313354492,0.05978560447692871,0.06099343299865723,0.0002581386566162108,0.0009496898651123048
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,y,1,1,25,26,0.5200106591526857,0.020061492919921875,0.0015403446928830818,0.0010012234561145306,0.0016777825076133013,0.0001374378147302195,0.0005391212367685512
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,y,2,1,118,119,2.3754474891689754,0.020004749298095703,0.0015403446928830818,0.0010444939834997058,0.002203368116170168,0.000495850709383376,0.0006630234232870862
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,z,1,1,16,17,0.34162475781738677,0.02001810073852539,0.005720040321350098,0.0033664703369140625,0.006041288375854492,0.0003212480545043946,0.002353569984436035
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,z,2,1,46,47,0.9338620298489806,0.020027637481689453,0.005720040321350098,0.004867196083068848,0.006536722183227539,0.0008166818618774415,0.0008528442382812499
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,z,3,1,58,59,1.1698217757022604,0.01996326446533203,0.005720040321350098,0.005198836326599121,0.006994843482971191,0.0005212039947509765,0.0012748031616210938
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,z,4,1,62,63,1.2597169757929798,0.019978761672973633,0.005720040321350098,0.005292296409606934,0.007294058799743652,0.000427743911743164,0.0015740184783935547
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,z,5,1,74,75,1.4972124135533875,0.019957780838012695,0.005720040321350098,0.004683375358581543,0.006253480911254883,0.0005334405899047852,0.0010366649627685546
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,z,6,1,105,106,2.112812277642336,0.02001500129699707,0.005720040321350098,0.005116462707519531,0.006192207336425781,0.00047216701507568366,0.0006035776138305663
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-HX-3-NEG-X-3-D125-S41001,A1-OC067-OO067,C0A-S-HX-3,41001,z,7,1,116,117,2.342020602629651,0.019983768463134766,0.005720040321350098,0.004361629486083984,0.00586855411529541,0.00014851379394531256,0.0013584108352661132
