trial_id,scenario,scenario_seed,num_uav,method,assignment,total_path_length,avg_path_length,xy_crossings,proximity_crossings,min_distance,safety_cost,safety_violation_count,critical_violation_count,arrival_time_variance,failed_assignment,critical_failed_assignment,total_cost,compute_time_ms
57,large,1644133252,8,hungarian_distance,"[2,3,1,7,4,6,5,0]",26.858898,3.357362,0,1,1.974180,0.506283,14,0,2.858476,1,0,37.365181,0.014207
57,large,1644133252,8,hungarian_crossing_penalty,"[2,3,1,7,4,6,5,0]",26.858898,3.357362,0,1,1.974180,0.506283,14,0,2.858476,1,0,37.365181,27.737942
57,large,1644133252,8,safety_aware_local_swap,"[2,3,1,7,5,6,4,0]",28.193469,3.524184,0,0,2.018589,0.000000,0,0,1.654543,0,0,28.193469,53.860699
58,large,857496016,8,random,"[4,7,1,3,0,6,5,2]",68.419247,8.552406,15,5,0.564622,5.258506,133,74,5.551588,1,1,273.677753,0.004779
58,large,857496016,8,nearest_neighbor,"[6,3,7,1,4,2,0,5]",21.146316,2.643289,0,0,2.229199,0.000000,0,0,1.099544,0,0,21.146316,0.072687
58,large,857496016,8,hungarian_distance,"[6,3,0,1,4,2,7,5]",18.281166,2.285146,0,0,3.050772,0.000000,0,0,1.734649,0,0,18.281166,0.013897
58,large,857496016,8,hungarian_crossing_penalty,"[6,3,0,1,4,2,7,5]",18.281166,2.285146,0,0,3.050772,0.000000,0,0,1.734649,0,0,18.281166,27.444471
58,large,857496016,8,safety_aware_local_swap,"[6,3,0,1,4,2,7,5]",18.281166,2.285146,0,0,3.050772,0.000000,0,0,1.734649,0,0,18.281166,27.319476
59,large,363005674,8,random,"[7,2,0,5,3,4,1,6]",57.256706,7.157088,9,8,0.160670,15.339853,237,152,7.015147,1,1,242.596558,0.004639
59,large,363005674,8,nearest_neighbor,"[2,3,1,0,7,4,6,5]",34.380730,4.297591,0,2,0.348127,3.910335,71,50,8.396523,1,1,58.291065,0.065533
59,large,363005674,8,hungarian_distance,"[2,4,1,7,0,3,6,5]",29.755294,3.719412,0,0,2.380210,0.000000,0,0,2.377761,0,0,29.755294,0.021029
59,large,363005674,8,hungarian_crossing_penalty,"[2,4,1,7,0,3,6,5]",29.755294,3.719412,0,0,2.380210,0.000000,0,0,2.377761,0,0,29.755294,27.546533
59,large,363005674,8,safety_aware_local_swap,"[2,4,1,7,0,3,6,5]",29.755294,3.719412,0,0,2.380210,0.000000,0,0,2.377761,0,0,29.755294,28.013970
60,large,1220684351,8,random,"[7,1,4,0,6,2,3,5]",72.711630,9.088954,11,8,0.161451,14.204196,155,73,8.510488,1,1,276.915826,0.005310
60,large,1220684351,8,nearest_neighbor,"[6,2,1,4,7,5,0,3]",34.742883,4.342860,0,2,1.086975,1.436225,40,17,6.104996,1,1,56.179108,0.069731
60,large,1220684351,8,hungarian_distance,"[5,2,0,3,7,4,6,1]",23.309760,2.913720,0,0,3.440467,0.000000,0,0,1.998934,0,0,23.309760,0.014607
60,large,1220684351,8,hungarian_crossing_penalty,"[5,2,0,3,7,4,6,1]",23.309760,2.913720,0,0,3.440467,0.000000,0,0,1.998934,0,0,23.309760,27.515845
60,large,1220684351,8,safety_aware_local_swap,"[5,2,0,3,7,4,6,1]",23.309760,2.913720,0,0,3.440467,0.000000,0,0,1.998934,0,0,23.309760,27.385861
